Code,Variable Label,Survey Question,0-5 Years Survey,6-11 Years Survey,12-17 Years Survey,Survey Section,Sub Section,Question Section,Skip Patterns,Answer Key - Codes,Notes
K5Q21,Arrange Or Coordinate Care Extra Help,"DURING THE PAST 12 MONTHS, have you felt that you could have used extra help arranging or coordinating this CHILD'S care among the different health care providers or services?",D8,D8,D8,,D. Experience with This Child's Health Care Providers: Care Coordination,,"If No, Skip to question D10","1 Yes, 2 No",
K5Q22,Arrange Or Coordinate As Much Help As Wanted,"If yes, DURING THE PAST 12 MONTHS, how often did you get as much help as you wanted with arranging or coordinating this child's health care?",D9,D9,D9,,D. Experience with This Child's Health Care Providers: Care Coordination,,,"1 Usually, 2 Sometimes, 3 Never",
K5Q30,Communication Satisfaction Among Doctors,"DURING THE PAST 12 MONTHS, how satisfied were you with the communication between this child’’s doctors and other health care providers?",D10,D10,D10,,D. Experience with This Child's Health Care Providers: Care Coordination,,,"1 Very Satisfied, 2 Somewhat satisfied, 3 Somewhat dissatisfied, 4 Very dissatisfied",
K5Q31_R,"Provider Communication with School, Child Care, Special Education Program","DURING THE PAST 12 MONTHS, did this child's health care provider communicate with this child's school, child care provider, or special education program?",D11,D11,D11,,D. Experience with This Child's Health Care Providers: Care Coordination,,"If No or Did not, skip to question E1 if 0-11 years; D13 if 12-17 years","1 Yes, 2 No, 3 Did not need health care provider to communicate with these providers",
K5Q32,"Communication Satisfaction with School, Child Care, Special Education Program","If yes, during this time, how satisfied were you with the health care provider's communication with the school, child care provider, or special education program?",D12,D12,D12,,D. Experience with This Child's Health Care Providers: Care Coordination,,,"1 Very Satisfied, 2 Somewhat satisfied, 3 Somewhat dissatisfied, 4 Very dissatisfied",
TREATCHILD,Doctors Treat Only Children,Do any of this child's doctors or other health care providers treat only children?,N/A,N/A,D13,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,"If No, Skip to question D15","1 Yes, 2 No",
TREATADULT,Talked About Child Seeing Doctors Who Treat Adults,"If yes, have they talked with you about when this child will need to see doctors or other health care providers who treat adults?",N/A,N/A,D14,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,,"1 Yes, 2 No",
POSCHOICE,Doctor Worked with Child to Make Positive Choices,"Has this child’’s doctor or other health care provider actively worked with this child to: Make positive choices about their health. For example, by eating healthy, getting regular exercise, not using tobacco, alcohol or other drugs, or delaying sexual activity?",N/A,N/A,D15a,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,Has this child’s doctor or other health care provider actively worked with this child to:,Has this child’s doctor or other health care provider actively worked with this child to:,"1 Yes, 2 No, 3 Don''t Know",
GAINSKILLS,Doctor Worked with Child to Gain Skills to Manage Health,"Has this child’’s doctor or other health care provider actively worked with this child to: Gain skills to manage their health and health care. For example, by understanding current health needs, knowing what to do in a medical emergency, or taking medications they may need?",N/A,N/A,D15b,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,Has this child’s doctor or other health care provider actively worked with this child to:,Has this child’s doctor or other health care provider actively worked with this child to:,"1 Yes, 2 No, 3 Don''t Know",
CHANGEAGE,Doctor Worked with Child to Understand Health Care Changes,"Has this child’’s doctor or other health care provider actively worked with this child to: Understand the changes in health care that happen at age 18. For example, by understanding changes in privacy, consent, access to information, or decision-making?",N/A,N/A,D15c,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,Has this child’s doctor or other health care provider actively worked with this child to:,Has this child’s doctor or other health care provider actively worked with this child to:,"1 Yes, 2 No, 3 Don''t Know",
MEDHISTORY,Receive Summary of Medical History,"Did you and this child receive a summary of your child’’s medical history (for example, medical conditions,allergies, medications, immunizations)?",N/A,N/A,D16,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,,"1 Yes, 2 No",
WRITEPLAN,Doctor Worked with You and Child To Create Written Plan,Have this child’’s doctors or other health care providers worked with you and this child to create a plan of care to meet their health goals and needs?,N/A,N/A,D17,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,"If No, Skip to question D20","1 Yes, 2 No",
RECEIVECOPY,Have Access to Plan of Care,Do you and this child have access to this plan of care?,N/A,N/A,D18,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,,"1 Yes, 2 No",
PLANNEEDS_R,Plan Address Transition,Does this plan of care address transition to doctors and other health care providers who treat adults?,N/A,N/A,D19,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,,"1 Yes, 2 No, 3 No, child already sees providers who treat adults",
HEALTHKNOW,How Child Will Be Insured as an Adult,Eligibility for health insurance often changes in young adulthood. Do you know how this child will be insured as they become an adult?,N/A,N/A,D20,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,"If Yes, Skip to question E1","1 Yes, 2 No",
KEEPINSADULT,How to Obtain/Keep Health Insurance as Child Becomes Adult,"If no, has anyone discussed with you how to obtain or keep some type of health insurance coverage as this child becomes an adult?",N/A,N/A,D21,,D. Experience with This Child's Health Care Providers: Transition to Adult Health Care,,,"1 Yes, 2 No",
K3Q04_R,Health Insurance Coverage - Past 12 Months (Use INSGAP),"DURING THE PAST 12 MONTHS, was this child EVER covered by ANY kind of health insurance or health coverage plan?",E1,E1,E1,,E. This Child's Health Insurance Coverage,,"If Yes, Yes, this child was covered all 12 month, Skip to question E4","1 Yes, this child was covered all 12 months, 2 Yes, but this child had a gap in coverage, 3 No",
K12Q01_A,Reason Not Covered - Change in Employer/Employment,Indicate whether any of the following is a reason this child was not covered by health insurance at any time DURING THE PAST 12 MONTHS: Change in employer or employment status,E2a,E2a,E2a,,E. This Child's Health Insurance Coverage,Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS:,,"1 Yes, 2 No",
K12Q01_B,Reason Not Covered - Cancellation Overdue Premiums,Indicate whether any of the following is a reason this child was not covered by health insurance at any time DURING THE PAST 12 MONTHS: Cancellation due to overdue premiums,E2b,E2b,E2b,,E. This Child's Health Insurance Coverage,Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS:,,"1 Yes, 2 No",
K12Q01_C,Reason Not Covered - Unaffordable,Indicate whether any of the following is a reason this child was not covered by health insurance at any time DURING THE PAST 12 MONTHS: Dropped coverage because it was unaffordable,E2c,E2c,E2c,,E. This Child's Health Insurance Coverage,Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS:,,"1 Yes, 2 No",
K12Q01_D,Reason Not Covered - Inadequate Benefits,Indicate whether any of the following is a reason this child was not covered by health insurance at any time DURING THE PAST 12 MONTHS: Dropped coverage because benefits were inadequate,E2d,E2d,E2d,,E. This Child's Health Insurance Coverage,Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS:,,"1 Yes, 2 No",
K12Q01_E,Reason Not Covered - Inadequate Providers,Indicate whether any of the following is a reason this child was not covered by health insurance at any time DURING THE PAST 12 MONTHS: Dropped coverage because choice of health care providers was inadequate,E2e,E2e,E2e,,E. This Child's Health Insurance Coverage,Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS:,,"1 Yes, 2 No",
K12Q01_F,Reason Not Covered - Application/Renewal Problems,Indicate whether any of the following is a reason this child was not covered by health insurance at any time DURING THE PAST 12 MONTHS: Problems with application or renewal process,E2f,E2f,E2f,,E. This Child's Health Insurance Coverage,Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS:,,"1 Yes, 2 No",
K12Q01_G,Reason Not Covered - Other,"Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS... Other, specify:",E2g,E2g,E2g,,E. This Child's Health Insurance Coverage,Indicate whether any of the following is a reason this child was not covered by health insurance DURING THE PAST 12 MONTHS:,,"1 Yes, 2 No",
CURRCOV,Health Insurance Coverage - Currently Covered (Use CURRINS),Is this child CURRENTLY covered by ANY kind of health insurance or health coverage plan?,E3,E3,E3,,E. This Child's Health Insurance Coverage,Is this child CURRENTLY covered by any of the following types of health insurance or health coverage plans? Insurance through a current or former employer or union. Mark (X) Yes or No for EACH item.,,"1 Yes, 2 No",
K12Q03,Health Insurance - Current/Former Employer or Union,Is this child CURRENTLY covered by any of the following types of health insurance or health coverage plans? Insurance through a current or former employer or union. Mark (X) Yes or No for EACH item.,E4a,E4a,E4a,,E. This Child's Health Insurance Coverage,Is this child covered by any of the following types of health insurance or health coverage plans?,"If No, Skip to question F1","1 Yes, 2 No",
K12Q04,Health Insurance - Insurance Company,Is this child CURRENTLY covered by any of the following types of health insurance or health coverage plans? Insurance purchased directly from an insurance company. Mark (X) Yes or No for EACH item.,E4b,E4b,E4b,,E. This Child's Health Insurance Coverage,Is this child covered by any of the following types of health insurance or health coverage plans?,,"1 Yes, 2 No",
K12Q12,Health Insurance - Government Assistance Plan,"Is this child CURRENTLY covered by any of the following types of health insurance or health coverage plans? Medicaid, Medical Assistance, or any kind of government assistance plan for those with low incomes or a disability. Mark (X) Yes or No for EACH item.",E4c,E4c,E4c,,E. This Child's Health Insurance Coverage,Is this child covered by any of the following types of health insurance or health coverage plans?,,"1 Yes, 2 No",
TRICARE,Health Insurance - TRICARE,Is this child CURRENTLY covered by any of the following types of health insurance or health coverage plans? TRICARE or other military health care. Mark (X) Yes or No for EACH item.,E4d,E4d,E4d,,E. This Child's Health Insurance Coverage,Is this child covered by any of the following types of health insurance or health coverage plans?,,"1 Yes, 2 No",
K11Q03R,Health Insurance - Indian Health Service,Is this child CURRENTLY covered by any of the following types of health insurance or health coverage plans? Indian Health Service. Mark (X) Yes or No for EACH item.,E4e,E4e,E4e,,E. This Child's Health Insurance Coverage,Is this child covered by any of the following types of health insurance or health coverage plans?,,"1 Yes, 2 No",
HCCOVOTH,Health Insurance - Other,"	Is this child CURRENTLY covered by any of the following types of health insurance or health coverage plans? Other, specify: Mark (X) Yes or No for EACH item.",E4f,E4f,E4f,,E. This Child's Health Insurance Coverage,Is this child covered by any of the following types of health insurance or health coverage plans?,,"1 Yes, 2 No",
K3Q20,Health Insurance - Benefits Cover Services,How often does this child’’s health insurance offer benefits or cover services that meet this child’’s needs?,E5,E5,E5,,E. This Child's Health Insurance Coverage,,,"1 Always, 2 Usually, 3 Sometimes, 4 Never",
K3Q22,Health Insurance - Allow to See Provider,How often does this child’’s health insurance allow them to see the health care providers they need?,E6,E6,E6,,E. This Child's Health Insurance Coverage,,,"1 Always, 2 Usually, 3 Sometimes, 4 Never",
MENBEVCOV,Health Insurance - Cover Mental Behavioral Needs,"Thinking specifically about this child's mental or behavioral health needs, how often does this child's health insurance offer benefits or cover services that meet these needs?",E7,E7,E7,,E. This Child's Health Insurance Coverage,,,"1 Always, 2 Usually, 3 Sometimes, 4 Never, 5 This child does not use mental or behavioral health services",
HOWMUCH,How Much Medical Health Care - Past 12 Months,"Including co-pays and amounts reimbursed from Health Savings Accounts (HSA) and Flexible Spending Accounts (FSA), how much money did you pay for this child’’s medical, health, dental, and vision care DURING THE PAST 12 MONTHS? Do not include health insurance premiums or costs that were or will be reimbursed by insurance or another source.",F1,F1,F1,,F. Providing for This Child's Health,"If No $0 (No medical or health-related expenses), Skip to question F4 ",,"1 $0 (No medical or health-related expenses), 2 $1-$249, 3 $250-$499, 4 $500-$999, 5 $1,000-$5,000, 6 More than $5,000",
K3Q21B,How Often Costs Reasonable,How often are these costs reasonable?,F2,F2,F2,,F. Providing for This Child's Health,,,"1 Always, 2 Usually, 3 Sometimes, 4 Never",
K3Q25,Problems Paying for Medical or Health Care,"DURING THE PAST 12 MONTHS, did your family have problems paying for any of this child's medical or health care bills?",F3,F3,F3,,F. Providing for This Child's Health,,,"1 Yes, 2 No",
STOPWORK,Past 12 Months - Stopped Working because of Health Status,"DURING THE PAST 12 MONTHS, have you or other family members... Left a job or taken a leave of absence because of this child’’s health or health conditions?",F4a,F4a,F4a,,F. Providing for This Child's Health,"DURING THE PAST 12 MONTHS, have you or other family members:",,"1 Yes, 2 No",
CUTHOURS,Past 12 Months -Cut Hours because of Health Conditions,"DURING THE PAST 12 MONTHS, have you or other family members... Cut down on the hours you work because of this child's health or health conditions?",F4b,F4b,F4b,,F. Providing for This Child's Health,"DURING THE PAST 12 MONTHS, have you or other family members:",,"1 Yes, 2 No",
AVOIDCHG,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance,"DURING THE PAST 12 MONTHS, have you or other family members... Avoided changing jobs because of concerns about maintaining health insurance for this child?",F4c,F4c,F4c,,F. Providing for This Child's Health,"DURING THE PAST 12 MONTHS, have you or other family members:",,"1 Yes, 2 No",
ATHOMEHC,Hours Spent Providing Home Health Care,"IN AN AVERAGE WEEK, how many hours do you or other family members spend providing health care at home for this child? Care might include changing bandages, or giving medication and therapies when needed.",F5,F5,F5,,F. Providing for This Child's Health,,,"	1 This child does not need health care provided at home on a weekly basis, 2 Less than 1 hour per week, 3 1-4 hours per week, 4 5-10 hours per week, 5 11 or more hours per week",
ARRANGEHC,Hours Spent Arranging Health Medical Care,"IN AN AVERAGE WEEK, how many hours do you or other family members spend arranging or coordinating health or medical care for this child, such as making appointments or locating services?",F6,F6,F6,,F. Providing for This Child's Health,,,"1 This child does not need health care coordinated on a weekly basis, 2 Less than 1 hour per week, 3 1-4 hours per week, 4 5-10 hours per week, 5 11 or more hours per week",
ONEWORD,Say One Word,"Is this child able to do the following...Say at least one word, such as ""hi"" or ""dog""? Mark (X) Yes or No for EACH item.",G1a,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,"if child is <1 year, skip to question G25","1 Yes, 2 No",
TWOWORDS,Use Two Words Together,"Is this child able to do the following...Use 2 words together, such as ""car go""? Mark (X) Yes or No for EACH item.",G1b,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
THREEWORDS,Use Three Words Together,"Is this child able to do the following...Use 3 words together in a sentence, such as, ""Mommy come now.""? Mark (X) Yes or No for EACH item.",G1c,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
ASKQUESTION,"Ask Questions: Who, What, When, Where","Is this child able to do the following...Ask questions like ""who,"" ""what,"" ""when,"" ""where""? Mark (X) Yes or No for EACH item.",G1d,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
ASKQUESTION2,"Ask Questions:  Why, How","Is this child able to do the following...Ask questions like ""why"" and ""how""? Mark (X) Yes or No for EACH item.",G1e,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
TELLSTORY,Tell a Story,"Is this child able to do the following...Tell a story with a beginning, middle, and end? Mark (X) Yes or No for EACH item.",G1f,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
UNDERSTAND,Understand 'No',"Is this child able to do the following...Understand the meaning of the word ""no""? Mark (X) Yes or No for EACH item.",G1g,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
DIRECTIONS,Follow Verbal Directions,"Is this child able to do the following...Follow a verbal direction without hand gestures, such as ""Wash your hands""? Mark (X) Yes or No for EACH item.",G1h,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
POINT,Point to Things,"	Is this child able to do the following...Point to things in a book when asked? Mark (X) Yes or No for EACH item.",G1i,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
DIRECTIONS2,Follow Two Step Directions,"Is this child able to do the following...Follow 2-step directions, such as ""Get your shoes and put them in the basket""? Mark (X) Yes or No for EACH item.",G1j,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
UNDERSTAND2,"Understand 'In', 'On', 'Under'","Is this child able to do the following...Understand words such as ""in,"" ""on,"" and ""under""? Mark (X) Yes or No for EACH item.",G1k,N/A,N/A,,G. This Child's Learning (0-5 years),Is this child able to do the following…,,"1 Yes, 2 No",
STARTSCHOOL,,"How old is this child? If the child is less than one month old, round age in months to 1.",G2,N/A,N/A,,G. This Child's Learning (0-5 years),"If child is <3 years, skip to question G25","Answer the remaining questions for each of the children 0-17 years old who usually live or stay at this address. Start with the YOUNGEST CHILD, who we will call “Child 1” and continue with the next youngest until you haveanswered the questions for all children who usually live or stay at this address.",_ _ _ Age in years,
K6Q08_R,Has Child Started School,Has this child started school? Include any formal home schooling.,G3,N/A,N/A,,G. This Child's Learning (0-5 years),,,"1 Yes, preschool, 2 Yes, kindergarten, 3 Yes, first grade, 4 No",
CONFIDENT,Learning to Do Things For Him or Herself,Are you concerned about how this child is learning to do things for themselves?,G4,N/A,N/A,,G. This Child's Learning (0-5 years),,,"1 Yes, very concerned, 2 Yes, somewhat concerned, 3 No",
RECOGBEGIN,Confident Ready for School,"How often can this child recognize the beginning sound of a word? For example, can this child tell you that the word “ball” starts with the “buh” sound?",G5,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
RECOGABC,Recognize Beginning Sound of a Word,,G6,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
RHYMEWORD,Recognize Letters of Alphabet,,G7,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
CLEAREXP,Rhyme Words,,G8,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
WRITENAME,How Often - Explain Things Good Idea,,G9,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
COUNTTO,How Often - Write First Name,,G10,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
RECSHAPES,Can Count How High,,G11,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
COLOR,How Often - Identify Basic Shapes,,G12,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
DISTRACTED,Can Name Colors,,G13,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
WORKTOFIN,How Often - Easily Distracted,,G14,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
SIMPLEINST,How Often - Work Until Finished,,G15,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
USEPENCIL,How Often - Follow Instructions for Simple Task,,G16,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
PLAYWELL,How Child Holds a Pencil,,G17,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
NEWACTIVITY,How Often - Play Well with Others,,G18,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
HURTSAD,How Often - Become Angry or Anxious,,G19,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
CALMDOWN,How Often - Show Concern,,G20,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
TEMPER,How Often - Can Calm Down,,G21,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
SITSTILL,How Often - Lose Control,,G22,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
,How Often - Able to Sit Still,,G23,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
,,,G24,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
,,,G25a,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
,,,G25b,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
,,,G25c,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
,,,G25d,N/A,N/A,,G. This Child's Learning (0-5 years),,,,
,,,N/A,G1,G1,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G2,G2,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G3,G3,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G4,G4,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G5a,G5a,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G5b,G5b,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G5c,G5c,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G5d,G5d,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G5e,G5e,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G6,G6,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G7,G7,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G8,G8,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G9,G9,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G10a,G10a,,G. This Child's Schooling and Activities (6-17 years),,,,
,,,N/A,G10b,G10b,,G. This Child's Schooling and Activities (6-17 years),,,,
SPCSERVMO,,,N/A,G10c,G10c,,G. This Child's Schooling and Activities (6-17 years),,,,
LIVEUSA_YR,Received Special Services - Age in Months (use with K4Q37),,N/A,G10d,G10d,,G. This Child's Schooling and Activities (6-17 years),,,,
LIVEUSA_MO,How Long Living in the United States - Years,,N/A,G10e,G10e,,G. This Child's Schooling and Activities (6-17 years),,,,
K11Q43R,How Long Living in the United States - Months,,N/A,G10f,G10f,,G. This Child's Schooling and Activities (6-17 years),,,,
A1_AGE,How Many Times Moved to New Address,,,,,,H. About You and This Child,,,,
A1_LIVEUSA,Adult 1 - Age in Years,,,,,,H. About You and This Child,,,,
A2_AGE,Adult 1 - Come to Live in the United States (Year),,,,,,H. About You and This Child,,,,
A2_LIVEUSA,Adult 2 - Age in Years,,,,,,H. About You and This Child,,,,
HHCOUNT,Adult 2 - Come to Live in the United States (Year),,,,,,H. About You and This Child,,,,
FAMCOUNT,Number of People Living at Address,,,,,,H. About You and This Child,,,,
REPEATED,Number of People That Are Family Members,,,,,,H. About You and This Child,,,,
K7Q30,Child Repeated Any Grades,,,,,,H. About You and This Child,,,,
K7Q31,Sports Team or Sports Lessons - Past 12 Months,,,,,,H. About You and This Child,,,,
K7Q32,Clubs or Organizations - Past 12 Months,,,,,,H. About You and This Child,,,,
K7Q37,Organized Activities or Lessons - Past 12 Months,,,,,,H. About You and This Child,,,,
K7Q38,Community Service or Volunteer Work - Past 12 Months,,,,,,H. About You and This Child,,,,
BORNUSA,Paid Work or Regular Job - Past 12 Months,,,,,,H. About You and This Child,,,,
K8Q35,Born in the United States,,,,,,H. About You and This Child,,,,
EMOSUPSPO,Someone to Turn To for Emotional Support,,,,,,H. About You and This Child,,,,
EMOSUPFAM,Emotional Support - Spouse or Domestic Partner,,,,,,H. About You and This Child,,,,
EMOSUPHCP,Emotional Support - Other Family or Friend,,,,,,H. About You and This Child,,,,
EMOSUPWOR,Emotional Support - Health Care Provider,,,,,,H. About You and This Child,,,,
EMOSUPADV,Emotional Support - Place of Worship,,,,,,H. About You and This Child,,,,
EMOSUPPEER,Emotional Support - Health Condition Support Group,,,,,,H. About You and This Child,,,,
EMOSUPMHP,Emotional Support - Peer Support Group,,,,,,H. About You and This Child,,,,
EMOSUPOTH,Emotional Support - Counselor,,,,,,H. About You and This Child,,,,
K6Q20,Emotional Support - Other,,,,,,H. About You and This Child,,,,
K6Q27,Receive Care From Others at Least 10 Hours Per Week,,,,,,H. About You and This Child,,,,
K9Q40,Job Change Because Problems with Child Care,,,,,,H. About You and This Child,,,,
K9Q41,Anyone in Household Use Cigarettes,,,,,,H. About You and This Child,,,,
K11Q60,Anyone Smoke Inside of Home,,,,,,H. About You and This Child,,,,
K11Q61,Cash Assistance from Government - Past 12 Months,,,,,,H. About You and This Child,,,,
K11Q62,Food Stamps - Past 12 Months,,,,,,H. About You and This Child,,,,
S9Q34,Free or Reduced Cost Meals - Past 12 Months,,,,,,H. About You and This Child,,,,
K10Q11,WIC Benefits - Past 12 Months,,,,,,H. About You and This Child,,,,
K10Q12,Neighborhood - Sidewalks or Walking Paths,,,,,,H. About You and This Child,,,,
K10Q13,Neighborhood - Park or Playground,,,,,,H. About You and This Child,,,,
K10Q14,Neighborhood - Recreation Center,,,,,,H. About You and This Child,,,,
K10Q20,Neighborhood - Library or Bookmobile,,,,,,H. About You and This Child,,,,
K10Q22,Neighborhood - Litter or Garbage,,,,,,H. About You and This Child,,,,
K10Q23,Neighborhood - Poorly Kept or Rundown Housing,,,,,,I. About Your Family and Household,,,,
K9Q96,Neighborhood - Vandalism,,,,,,I. About Your Family and Household,,,,
ACE3,Other Adult Child Can Rely On For Advice,,,,,,I. About Your Family and Household,,,,
ACE4,Child Experienced - Parent or Guardian Divorced,,,,,,I. About Your Family and Household,,,,
ACE5,Child Experienced - Parent or Guardian Died,,,,,,I. About Your Family and Household,,,,
ACE6,Child Experienced - Parent or Guardian Time in Jail,,,,,,I. About Your Family and Household,,,,
ACE7,"Child Experienced - Adults Slap, Hit, Kick, Punch Others",,,,,,I. About Your Family and Household,,,,
ACE8,Child Experienced - Victim of Violence,,,,,,I. About Your Family and Household,,,,
ACE9,Child Experienced - Lived with Mentally Ill,,,,,,I. About Your Family and Household,,,,
ACE10,Child Experienced - Lived with Person with Alcohol/Drug Problem,,,,,,I. About Your Family and Household,,,,
A1_DEPLSTAT,Child Experienced - Treated Unfairly Because of Race,,,,,,I. About Your Family and Household,,,,
A2_DEPLSTAT,Adult 1 - Deployment Status,,,,,,I. About Your Family and Household,,,,
A1_SEX,Adult 2 - Deployment Status,,,,,,I. About Your Family and Household,,,,
A1_BORN,Adult 1 - Sex,,,,,,I. About Your Family and Household,,,,
A1_GRADE,Adult 1 - Where Born,,,,,,I. About Your Family and Household,,,,
A1_MARITAL,Adult 1 - Highest Completed Year of School,,,,,,I. About Your Family and Household,,,,
A1_RELATION,Adult 1 - Marital Status,,,,,,I. About Your Family and Household,,,,
A2_SEX,Adult 1 - How Related to Child,,,,,,I. About Your Family and Household,,,,
A2_BORN,Adult 2 - Sex,,,,,,I. About Your Family and Household,,,,
A2_GRADE,Adult 2 - Where Born,,,,,,I. About Your Family and Household,,,,
A2_MARITAL,Adult 2 - Highest Completed Year of School,,,,,,I. About Your Family and Household,,,,
A2_RELATION,Adult 2 - Marital Status,,,,,,I. About Your Family and Household,,,,
A1_ACTIVE,Adult 2 - How Related to Child,,,,,,I. About Your Family and Household,,,,
A2_ACTIVE,Adult 1 - Active Duty,,,,,,I. About Your Family and Household,,,,
A1_PHYSHEALTH,Adult 2 - Active Duty,,,,,,I. About Your Family and Household,,,,
A1_MENTHEALTH,Adult 1 - Physical Health,,,,,,I. About Your Family and Household,,,,
A2_PHYSHEALTH,Adult 1 - Mental or Emotional Health,,,,,,I. About Your Family and Household,,,,
A2_MENTHEALTH,Adult 2 - Physical Health,,,,,,I. About Your Family and Household,,,,
K6Q70_R,Adult 2 - Mental or Emotional Health,,,,,,I. About Your Family and Household,,,,
K6Q73_R,Affectionate,,,,,,I. About Your Family and Household,,,,
K6Q71_R,Bounces Back,,,,,,I. About Your Family and Household,,,,
K6Q72_R,Show Interest and Curiosity,,,,,,I. About Your Family and Household,,,,
K7Q84_R,Smiles Laughs,,,,,,I. About Your Family and Household,,,,
K7Q85_R,Works to Finish Tasks Started,,,,,,I. About Your Family and Household,,,,
K7Q82_R,Stays Calm and In Control When Challenged,,,,,,I. About Your Family and Household,,,,
K7Q83_R,Cares About Doing Well in School,,,,,,J. Child's Caregivers,,,,
K7Q70_R,Does All Required Homework,,,,,,J. Child's Caregivers,,,,
BULLIED_R,Argues Too Much,,,,,,J. Child's Caregivers,,,,
BULLY,"Bullied, Picked On, or Excluded by Others",,,,,,J. Child's Caregivers,,,,
,"Bullies Others, Picks on Them, or Excludes Them",,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
,,,,,,,J. Child's Caregivers,,,,
